Ω√¡°,M2,M2_index
2007. 04,1165291,27.01585307
2007. 05,1171148.4,27.15164976
2007. 06,1190080.2,27.59056049
2007. 07,1200892.7,27.84123514
2007. 08,1208052.8,28.00723334
2007. 09,1219265.1,28.26717686
2007. 10,1229742.1,28.51007335
2007. 11,1250790.1,28.99804561
2007. 12,1269522.5,29.43233349
2008. 01,1286407.8,29.82379862
2008. 02,1309161.7,30.35132008
2008. 03,1324032.7,30.69608611
2008. 04,1339434.9,31.05316737
2008. 05,1356612.9,31.45141838
2008. 06,1369728.1,31.75547833
2008. 07,1378914.3,31.96844919
2008. 08,1386101.1,32.1350664
2008. 09,1395719.2,32.35805034
2008. 10,1403984.2,32.5496643
2008. 11,1426165.1,33.06390146
2008. 12,1436298.3,33.29882736
2009. 01,1440275.8,33.39104086
2009. 02,1457931.3,33.80036213
2009. 03,1470443.1,34.09043298
2009. 04,1482009.7,34.35859052
2009. 05,1491542.7,34.57960152
2009. 06,1501898.3,34.8196835
2009. 07,1512822.5,35.07294777
2009. 08,1524879.7,35.35247927
2009. 09,1535279.8,35.59359293
2009. 10,1551319.5,35.96545385
2009. 11,1564175.8,36.26351151
2009. 12,1570027.1,36.39916677
2010. 01,1574215.8,36.49627668
2010. 02,1595403.8,36.98749467
2010. 03,1607896.1,37.27711343
2010. 04,1621176.9,37.58501261
2010. 05,1630904.7,37.81053981
2010. 06,1647981.2,38.20643767
2010. 07,1653057.5,38.32412551
2010. 08,1653907.2,38.34382477
2010. 09,1659400.1,38.47117097
2010. 10,1669376.6,38.70246397
2010. 11,1679909.9,38.94666571
2010. 12,1682871.9,39.01533607
2011. 01,1676448.8,38.86642432
2011. 02,1674390.5,38.81870514
2011. 03,1677475.9,38.89023638
2011. 04,1684792.3,39.05985821
2011. 05,1690543,39.19318119
2011. 06,1697204.2,39.347613
2011. 07,1705451.5,39.53881661
2011. 08,1719437.8,39.86307194
2011. 09,1729531.1,40.09707282
2011. 10,1742645.4,40.40111189
2011. 11,1753296.4,40.64804236
2011. 12,1756597.4,40.72457203
2012. 01,1757058.7,40.73526671
2012. 02,1762988.4,40.87273958
2012. 03,1773172.9,41.10885481
2012. 04,1777114.7,41.20024065
2012. 05,1784220.5,41.36497997
2012. 06,1796981.5,41.66082822
2012. 07,1807289.2,41.89979969
2012. 08,1817134.9,42.12806026
2012. 09,1819290.1,42.17802595
2012. 10,1822420.9,42.25060973
2012. 11,1830280.3,42.43282035
2012. 12,1835556.7,42.55514726
2013. 01,1841128.1,42.68431339
2013. 02,1857135,43.05541388
2013. 03,1862405.5,43.177604
2013. 04,1867726.3,43.30096027
2013. 05,1870289.7,43.36038958
2013. 06,1884193.2,43.6827253
2013. 07,1890728.6,43.83424059
2013. 08,1888658.4,43.78624553
2013. 09,1903187.1,44.12307575
2013. 10,1908557.6,44.24758425
2013. 11,1923339.2,44.59027765
2013. 12,1932026.4,44.7916798
2014. 01,1937045.6,44.90804385
2014. 02,1954340.7,45.30900968
2014. 03,1964954,45.55506612
2014. 04,1970361.6,45.68043474
2014. 05,1982390.9,45.95931942
2014. 06,1999376.3,46.35310524
2014. 07,2013935.1,46.69063329
2014. 08,2031777.2,47.10428065
2014. 09,2037600.8,47.23929373
2014. 10,2051149.8,47.5534108
2014. 11,2083253.5,48.297696
2014. 12,2088729.8,48.42465734
2015. 01,2092223.5,48.50565452
2015. 02,2109892.3,48.91528414
2015. 03,2127887.8,49.3324879
2015. 04,2148114.7,49.80142395
2015. 05,2166741.1,50.23325435
2015. 06,2179561.1,50.53047045
2015. 07,2200510.9,51.01616605
2015. 08,2218660.3,51.43693779
2015. 09,2230000.7,51.69985116
2015. 10,2232432,51.75621789
2015. 11,2242848.2,51.99770481
2015. 12,2246070.1,52.07240063
2016. 01,2261356.4,52.42679489
2016. 02,2285313.5,52.98221108
2016. 03,2294544.7,53.19622522
2016. 04,2299081.3,53.30140076
2016. 05,2312801.2,53.61947994
2016. 06,2334256.2,54.11688799
2016. 07,2352245.1,54.53393874
2016. 08,2377323.1,55.11534164
